file,url,built_up,built_up_psf
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_107154566.0.html.gz,https://www.iproperty.com.my/property/tampoi/dewani-detach-factory-near-tampoi-tebrau-1-acres-built-up-20-k-sqft/ol-sale-107154566/,20000 sq ft,375.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_107230357.0.html.gz,https://www.iproperty.com.my/property/bangi/a-park-bangi-3-storey-brand-new-detached-factory/ol-sale-107230357/,31514 sq ft,697.94
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_108376742.0.html.gz,https://www.iproperty.com.my/property/klang/gateway-16-bandar-bukit-raja/sale-108376742/,3620 sq ft,1215.47
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_108406851.0.html.gz,https://www.iproperty.com.my/property/shah-alam/sale-108406851/,5600 sq ft,535.71
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200088275.0.html.gz,https://www.iproperty.com.my/property/petaling-jaya/damansara-utama/ol-sale-200088275/,6000 sq ft,983.33
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200279237.0.html.gz,https://www.iproperty.com.my/property/kampar/sale-200279237/,2400 sq ft,328.33
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200371273.0.html.gz,https://www.iproperty.com.my/property/semenyih/big-detached-factory-warehouse-for-sales-at-semenyih-industrial-park/sale-200371273/,97000 sq ft,391.75
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200382035.0.html.gz,https://www.iproperty.com.my/property/shah-alam/3-3-acres-freehold-industrial-land-for-sale-shah-alam-industrial-park/sale-200382035/,,0.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200383226.0.html.gz,https://www.iproperty.com.my/property/shah-alam/1-033-acre-45-000-sf-freehold-industrial-land-for-sale-shah-alam-industrial-park/sale-200383226/,45000 sq ft,0.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200394938.0.html.gz,https://www.iproperty.com.my/property/klang/ol-sale-200394938/,65907 sq ft,440.01
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200395055.0.html.gz,https://www.iproperty.com.my/property/semenyih/eco-majectic/ol-sale-200395055/,3899 sq ft,384.46
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_200395124.0.html.gz,https://www.iproperty.com.my/property/semenyih/setia-eco-hill-2/sale-200395124/,3899 sq ft,371.89
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_500011622.0.html.gz,https://www.iproperty.com.my/property/bukit-jalil/aurora-place-bukit-jalil/sale-500011622/,6055 sq ft,908.34
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_500142235.0.html.gz,https://www.iproperty.com.my/property/sungai-lalang/sungai-lalang/sale-500142235/,,0.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_500148878.0.html.gz,https://www.iproperty.com.my/property/balakong/balakong/sale-500148878/,5450 sq ft,954.13
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_commercial_nan.html.gz,https://www.iproperty.com.my/new-property/property/shah-alam/maya-corporate-office-suites/new-6721/,786 sq ft,745.55
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_102250668.0.html.gz,https://www.iproperty.com.my/property/damansara-perdana/sale-102250668/,5325 sq ft,619.72
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_102561406.0.html.gz,https://www.iproperty.com.my/property/tanjung-tokong/city-of-dreams/sale-102561406/,1335 sq ft,1273.41
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_103211511.0.html.gz,https://www.iproperty.com.my/property/damansara-heights/pavilion-damansara-heights/sale-103211511/,1466 sq ft,2000.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_103439388.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/the-ritz-carlton-residences/sale-103439388/,2142 sq ft,2474.32
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_107036393.0.html.gz,https://www.iproperty.com.my/property/kl-city-centre/hampshire-residences/sale-107036393/,1065 sq ft,938.97
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_107078466.0.html.gz,https://www.iproperty.com.my/property/kepong/mizumi-residences/ol-sale-107078466/,932 sq ft,590.13
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_107991516.0.html.gz,https://www.iproperty.com.my/property/rawang/sale-107991516/,1800 sq ft,366.11
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_108445279.0.html.gz,https://www.iproperty.com.my/property/ara-damansara/the-potpourri/sale-108445279/,1488 sq ft,806.45
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_108547163.0.html.gz,https://www.iproperty.com.my/property/cheras/sale-108547163/,6711 sq ft,596.04
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_108559759.0.html.gz,https://www.iproperty.com.my/property/setapak/the-reach-titiwangsa/sale-108559759/,1746 sq ft,572.74
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200067935.0.html.gz,https://www.iproperty.com.my/property/rawang/sale-200067935/,1800 sq ft,327.78
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200070139.0.html.gz,https://www.iproperty.com.my/property/rawang/sale-200070139/,1909 sq ft,366.68
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200073915.0.html.gz,https://www.iproperty.com.my/property/bandar-menjalara/sale-200073915/,2200 sq ft,559.09
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200166046.0.html.gz,https://www.iproperty.com.my/property/mont-kiara/arcoris-residences/ol-sale-200166046/,886 sq ft,1162.53
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200199968.0.html.gz,https://www.iproperty.com.my/property/kepong/ol-sale-200199968/,3300 sq ft,409.09
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200299237.0.html.gz,https://www.iproperty.com.my/property/petaling-jaya/ol-sale-200299237/,2200 sq ft,500.00
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200363528.0.html.gz,https://www.iproperty.com.my/property/tropicana/aetas-damansara/sale-200363528/,2572 sq ft,1069.21
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200383311.0.html.gz,https://www.iproperty.com.my/property/bandar-sungai-long/sale-200383311/,1800 sq ft,321.11
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200383336.0.html.gz,https://www.iproperty.com.my/property/ipoh/sale-200383336/,1540 sq ft,321.43
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_500123015.0.html.gz,https://www.iproperty.com.my/property/rawang/illaria/sale-500123015/,1891 sq ft,394.50
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_nan.html.gz,https://www.iproperty.com.my/new-property/property/rawang/d-templer-hilltop-residences/new-6929/,3570 sq ft,
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_107078466.0.html\adview_sale_residential_107078466.0.html,https://www.iproperty.com.my/property/kepong/mizumi-residences/ol-sale-107078466/,932 sq ft,590.13
C:\Users\USER\OneDrive\Documents\pythondata\adview_iproperty_2025-10-03_13-06-27\adview_sale_residential_200363528.0.html\adview_sale_residential_200363528.0.html,https://www.iproperty.com.my/property/tropicana/aetas-damansara/sale-200363528/,2572 sq ft,1069.21
