intent,segment,url,title,listed_date,listed_time,scrape_datetime,agent_name,agent_id,listing_id,snapshot_path
rent,residential,https://www.iproperty.com.my/property/kota-damansara/dianthus-tropicana-gardens/rent-200209462/,"Dianthus @ Tropicana Gardens, Kota Damansara",,,2025-10-03 13:03:11,,,200209462,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kl-city-centre/the-conlay/rent-500176225/,"1 Bedroom Service Residence Rental at 29, Jalan Conlay, Malaysia",,,2025-10-03 13:03:11,,,500176225,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/rent-200082162/,Find the perfect balance with our partially furnished homes,,,2025-10-03 13:03:11,,,200082162,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/south-view/rent-106705361/,Live stress-free with our turnkey fully furnished rentals,,,2025-10-03 13:03:11,,,106705361,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/south-view/rent-200302222/,Live stress-free with our turnkey fully furnished rentals,,,2025-10-03 13:03:11,,,200302222,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/kl-gateway-residences/rent-200242962/,Live stress-free with our turnkey fully furnished rentals,,,2025-10-03 13:03:11,,,200242962,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/segambut/savvy-riana-dutamas/rent-108182284/,Im solely servicing agent,,,2025-10-03 13:03:11,,,108182284,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/batu-kawan/vivo-executive-apartment/rent-500203280/,New Reno Furnish (High Floor) Few Unit For Rent,,,2025-10-03 13:03:11,,,500203280,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/damansara-heights/regent-suites-pavilion-damansara-heights/rent-500176124/,Newly available 2-bedroom unit for rent.,,,2025-10-03 13:03:11,,,500176124,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/ol-rent-108262382/,"Walking to LRT , Mall , office & Great Amenities",,,2025-10-03 13:03:11,,,108262382,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/kampung-kerinchi-bangsar-south/laurel-residence/ol-rent-108397443/,Laurel Residence,,,2025-10-03 13:03:11,,,108397443,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/mont-kiara/inspirasi/cl-rent-200013030/,"Inspirasi Brand New Fully Furnished, Actual Photo, ID Design",,,2025-10-03 13:03:11,,,200013030,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/mont-kiara/pavilion-hilltop/rent-500176161/,"Spacious 4 Bedroom Condominium for Rental at Lot 67209, Jalan Kiara",,,2025-10-03 13:03:11,,,500176161,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
rent,residential,https://www.iproperty.com.my/property/mont-kiara/inspirasi/rent-500141845/,"New Inspirasi many unit on hand Fully Furnished, 1015sqf Actual Photo",,,2025-10-03 13:03:11,,,500141845,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\rent_residential_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/shah-alam/1-033-acre-45-000-sf-freehold-industrial-land-for-sale-shah-alam-industrial-park/sale-200383226/,Freehold 1.033 acres industrial land for sale at Shah Alam,,,2025-10-03 13:03:13,,,200383226,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/shah-alam/shah-alam-strategic-loaction-detached-warehouse/sale-103078340/,800 Amps Detached Factory For Sale,,,2025-10-03 13:03:13,,,103078340,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/sungai-lalang/sungai-lalang/sale-500142235/,Sungai Lalang/Sungai Petani Industrial Land.,,,2025-10-03 13:03:13,,,500142235,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/new-property/property/johor-bahru/21-biz-hub/new-6876/,21BizHub,,,2025-10-03 13:03:13,,,,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/semenyih/setia-eco-hill-2/sale-200395124/,New launching shop lot in eco majestic,,,2025-10-03 13:03:13,,,200395124,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
sale,commercial,https://www.iproperty.com.my/property/semenyih/eco-majectic/ol-sale-200395055/,New launching shop lot in eco majestic,,,2025-10-03 13:03:13,,,200395055,C:\Users\USER\OneDrive\Documents\pythondata\adlist_iproperty_2025-10-03_13-03-00\sale_commercial_page_1.html.gz
